,0
628,3634543.869338979
629,3655127.197528979
630,3412577.517528979
631,3753529.157528979
632,3849734.437528979
633,3845898.208568979
634,3712609.3785689794
635,3760098.1385689797
636,3974124.9785689795
637,4178232.0985689797
638,4126872.4585689795
639,4261088.05856898
640,4397790.618568979
641,4357199.37856898
642,5173104.538568979
643,5188205.13856898
644,5012555.13856898
645,5361481.658568979
646,5314350.25856898
647,5283296.25856898
648,5463990.01856898
649,5377387.698568979
650,5513669.21856898
651,5853991.29856898
652,5775868.458568979
653,6233471.33856898
654,6268979.538568979
655,6429897.25856898
656,6058560.538568979
657,5435771.05856898
658,5541804.818568979
659,5536264.801688979
660,5437808.20256898
661,5436418.24256898
662,5310436.5715289805
663,5822234.774288302
664,5662077.480403451
665,5918846.594175033
666,5672826.827791963
667,5730279.635808935
668,5747964.309829552
669,6015591.704169553
670,6132043.448849551
671,6506677.644969552
672,6626341.724969553
673,6819482.834969552
674,6719793.084969552
675,7193755.794219552
676,6975142.274219552
677,6594049.474219552
678,6710672.162469553
679,6955589.294954735
680,6834004.031274595
681,6934259.051274595
682,6925799.601274595
683,6835769.517174595
684,6480779.390524595
685,6486010.085174595
686,6297359.822374595
687,6178551.302374595
688,6573011.582374595
689,6692196.571174595
690,6701505.451174595
691,6904045.571174595
692,7023427.841364595
693,7022846.373564595
694,7032302.083960708
695,7077956.900108969
696,6890936.311679672
697,7031648.859950278
698,7067933.349950277
699,6952465.256500278
700,6702094.176500278
701,6943821.456500277
702,6937633.336500277
703,7130238.856500277
704,7182653.237950446
705,7159245.4172784
706,7578016.5620784
707,7544445.456428516
708,7593311.731098445
709,7349002.906648445
710,7240462.414198445
711,6716362.472748445
712,6664397.420668445
713,6730833.127188445
714,6401151.996598444
715,6142852.196598445
716,6130443.998297184
717,5996567.0528418245
718,5854093.040591825
719,6463130.370591824
720,6541111.1542418245
721,6550484.644241825
722,6381018.366101825
723,6857809.2479918245
724,6856247.252815567
725,6716201.171086474
726,6779422.976246474
727,6342808.028566474
728,6795277.865126474
729,6692937.985126474
730,6800188.145126474
731,6904943.625126474
732,6843181.944935395
733,6558461.422452662
734,6655554.222452662
735,5853936.5899326615
736,5936725.110812661
