,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
4657,20191106,Ethereum,5810.66,5735.43,5869.9,5721.91,3.08E+11,49.56217815,51.46231631,105.2735861,20.11157682,0
4658,20191106,Monero,1947.33,1908.53,1961.87,1903.11,7854991165,34.76330588,50.54107588,149.3989438,35.56261395,0
4659,20191107,Bitcoin,281835.78,284415.62,284904.71,279852.74,6.90E+11,6051.70465,51.20214151,69.60870855,20.79224246,0
4660,20191107,Ethereum,5716.55,5823.84,5834.69,5673.69,2.76E+11,53.13185279,50.26670954,78.72316351,16.32115834,0
4661,20191107,Monero,1931.26,1952,2015.52,1912.48,7465122845,37.71045351,49.99002496,145.1173177,40.75016887,0
4662,20191108,Bitcoin,266409.26,280342.23,280565.86,265521.32,7.36E+11,4577.798552,46.97356163,22.60444456,0.132478241,0
4663,20191108,Ethereum,5573.69,5686.02,5713,5523.15,2.78E+11,43.92687592,48.49735361,29.03670146,5.238005935,0
4664,20191108,Monero,1842.37,1921.95,1928.47,1820.05,5872880007,32.49878338,47.05435417,69.95093736,22.57663406,0
4665,20191109,Bitcoin,267897.65,267772.63,270275.71,267277,5.34E+11,3489.592138,47.40707824,12.44117259,0.132478241,0
4666,20191109,Ethereum,5624.13,5602.34,5648.75,5589.89,2.21E+11,40.23811197,49.15109212,40.62278952,5.238005935,0
4667,20191109,Monero,1890.09,1849.41,1899.21,1844.04,4579883690,31.85193318,48.7265507,75.08075465,22.57663406,0
4668,20191110,Bitcoin,275251.77,267864.43,276719.89,267672.11,6.26E+11,3183.894781,49.51667041,29.30190479,8.199909221,0
4669,20191110,Ethereum,5759.35,5621.54,5803.22,5613.74,2.66E+11,47.6762814,50.88019282,82.86416445,14.76078395,0
4670,20191110,Monero,1942.39,1891,1962.1,1884.02,5356365304,35.15423649,50.49908562,105.5323025,29.64000946,0
4671,20191111,Bitcoin,266185.68,275277.46,276017.91,264447.75,6.16E+11,2184.883749,47.10693888,10.52833871,3.718577473,0
4672,20191111,Ethereum,5637.8,5759.78,5785.18,5625.54,2.39E+11,43.26429127,49.32062412,63.32437456,14.76078395,0
4673,20191111,Monero,1882.31,1941.92,1951.86,1867.37,6265537214,32.54818654,48.50633824,79.38834795,26.37710043,0
4674,20191112,Bitcoin,268251.8,266550.49,269411.31,264288.89,6.18E+11,1542.102527,47.70689628,2.72287209,3.49282881,0
4675,20191112,Ethereum,5685.46,5646.55,5719.07,5604.75,2.37E+11,43.11650081,49.94298607,56.39176983,13.0141574,0
4676,20191112,Monero,1894.44,1884.57,2000.45,1882.87,5738641123,31.10312533,48.92727023,92.3051642,31.73689687,0
4677,20191113,Bitcoin,267744.74,267859.37,268613.46,266327.89,5.33E+11,980.4759565,47.56990873,2.17649903,3.49282881,0
4678,20191113,Ethereum,5722.5,5682.49,5755.12,5651.96,2.23E+11,45.46411227,50.43237047,71.68565571,15.40079943,0
4679,20191113,Monero,1985.84,1892.3,1997.27,1888.02,6335623478,36.90767139,51.98661975,108.0372482,31.73689687,0
4680,20191114,Bitcoin,265387.91,268552.58,269009.94,264914.22,5.82E+11,341.2723935,46.92206654,-4.68861494,1.25187662,0
4681,20191114,Ethereum,5668.53,5737.79,5748.83,5637.83,2.40E+11,42.48000031,49.69997434,59.96622972,14.08925191,0
4682,20191114,Monero,1997.34,1990.76,2007.63,1961.4,6210786411,41.95217133,52.35807307,124.8260018,32.92656594,0
4683,20191115,Bitcoin,258530.2,265036.57,265802.7,258312.59,6.64E+11,-710.4710521,45.07432893,-32.53317252,8.624936964,0
4684,20191115,Ethereum,5495.79,5664.35,5670.25,5461.03,2.68E+11,25.87808923,47.41983968,2.117510048,0.965256813,0
4685,20191115,Monero,1886.26,1995.7,2002.69,1886.03,4544081379,36.56524483,48.60100952,72.16992946,17.06102383,0
